1,6320
2,1221
3,684
4,373
5,267
6,180
7,156
8,88
9,77
10,75
11,48
12,41
13,34
14,27
15,22
16,32
17,18
18,28
19,15
20,15
21,10
22,19
23,10
24,9
25,5
26,6
27,8
28,7
29,5
30,1
31,5
32,7
33,4
34,3
35,2
36,4
37,5
38,3
39,4
40,3
41,4
42,3
43,1
44,1
45,2
46,2
47,1
48,2
49,1
50,3
51,1
52,3
53,2
55,4
56,1
60,1
62,1
63,1
64,1
65,2
67,1
68,2
71,1
73,3
76,1
80,1
84,1
85,1
89,1
94,3
95,1
100,1
114,1
116,1
117,1
121,1
138,1
140,1
152,1
159,1
173,1
184,1
210,1
246,1
249,1
573,1
679,1
680,1
3389,1
3457,1
3829,1
